step_vector	z	xhat_x	x_vector	P
1	-0.44046	0	-0.37727	1
2	-0.465116	-0.460541	-0.37727	0.00990165
3	-0.309737	-0.366346	-0.37727	0.00624619
4	-0.424354	-0.399115	-0.37727	0.00564917
5	-0.578964	-0.498628	-0.37727	0.00553315
6	-0.40141	-0.445062	-0.37727	0.00550987
7	-0.336887	-0.38551	-0.37727	0.00550518
8	-0.505351	-0.451473	-0.37727	0.00550423
9	-0.462951	-0.457791	-0.37727	0.00550404
10	-0.421652	-0.4379	-0.37727	0.005504
11	-0.288936	-0.35591	-0.37727	0.00550399
12	-0.381741	-0.370128	-0.37727	0.00550399
13	-0.458624	-0.418836	-0.37727	0.00550399
14	-0.424792	-0.422114	-0.37727	0.00550399
15	-0.384692	-0.401517	-0.37727	0.00550399
16	-0.419612	-0.411477	-0.37727	0.00550399
17	-0.51823	-0.470233	-0.37727	0.00550399
18	-0.443119	-0.45531	-0.37727	0.00550399
19	-0.37841	-0.412984	-0.37727	0.00550399
20	-0.223403	-0.308639	-0.37727	0.00550399
21	-0.345281	-0.328806	-0.37727	0.00550399
22	-0.414853	-0.376166	-0.37727	0.00550399
23	-0.337961	-0.355138	-0.37727	0.00550399
24	-0.324987	-0.338543	-0.37727	0.00550399
25	-0.396589	-0.370491	-0.37727	0.00550399
26	-0.437645	-0.407453	-0.37727	0.00550399
27	-0.242071	-0.316427	-0.37727	0.00550399
28	-0.498618	-0.416705	-0.37727	0.00550399
29	-0.265442	-0.33345	-0.37727	0.00550399
30	-0.100853	-0.205429	-0.37727	0.00550399
31	-0.415375	-0.320983	-0.37727	0.00550399
32	-0.466709	-0.401191	-0.37727	0.00550399
33	-0.268806	-0.328326	-0.37727	0.00550399
34	-0.339215	-0.334319	-0.37727	0.00550399
35	-0.480036	-0.414521	-0.37727	0.00550399
36	-0.365276	-0.387417	-0.37727	0.00550399
37	-0.404601	-0.396875	-0.37727	0.00550399
38	-0.409194	-0.403656	-0.37727	0.00550399
39	-0.271491	-0.330913	-0.37727	0.00550399
40	-0.386506	-0.361511	-0.37727	0.00550399
41	-0.425628	-0.396801	-0.37727	0.00550399
42	-0.472243	-0.438324	-0.37727	0.00550399
43	-0.482484	-0.46263	-0.37727	0.00550399
44	-0.425116	-0.441982	-0.37727	0.00550399
45	-0.314156	-0.371627	-0.37727	0.00550399
46	-0.465716	-0.423414	-0.37727	0.00550399
47	-0.347156	-0.381442	-0.37727	0.00550399
48	-0.399928	-0.391617	-0.37727	0.00550399
49	-0.392216	-0.391947	-0.37727	0.00550399
50	-0.35529	-0.371771	-0.37727	0.00550399
