Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
CCH80,Cocoa,2965,-12.37,+0.37%,-4.08%,-5.45%,-13.51%
CCK80,Cocoa,2427,-33.88,-18.45%,-11.87%,-21.15%,-29.79%
CCN80,Cocoa,2351,-30.15,-21.84%,+2.62%,-13.69%,-30.48%
CCU80,Cocoa,2252,-31.49,-25.73%,+9.96%,-7.13%,-30.58%
CCZ80,Cocoa,1975,-37.79,-34.88%,+0.25%,-14.87%,-38.95%
CCH81,Cocoa,2025,-27.76,-1.22%,+7.60%,+2.27%,-34.99%
CCK81,Cocoa,1712,-34.56,-17.69%,-14.83%,-10.79%,-35.52%
CCN81,Cocoa,1885,-22.04,-10.87%,+38.10%,-8.00%,-28.11%
CCU81,Cocoa,2148,-3.68,-0.56%,+6.28%,+48.86%,-14.18%
CCZ81,Cocoa,2052,-5.68,-7.32%,+13.68%,-7.65%,-5.09%
CCH82,Cocoa,1806,-20.33,-12.07%,-6.47%,-8.51%,-20.34%
CCK82,Cocoa,1538,-30.22,-25.34%,-3.63%,-21.81%,-24.09%
CCN82,Cocoa,1363,-42.44,-34.00%,+3.26%,-13.79%,-37.33%
CCU82,Cocoa,1515,-34.18,-26.95%,+12.14%,+8.21%,-36.95%
CCZ82,Cocoa,1419,-29.69,-32.40%,+8.32%,-13.16%,-33.85%
CCH83,Cocoa,1641,-10.68,+2.37%,-9.84%,+10.80%,-17.99%
CCK83,Cocoa,1959,+19.72,+19.45%,+11.50%,+3.49%,+8.95%
CCN83,Cocoa,2014,+23.89,+20.60%,-8.83%,+11.46%,+24.17%
CCU83,Cocoa,2118,+22.36,+24.59%,-2.93%,-4.64%,+18.13%
CCZ83,Cocoa,2513,+56.01,+44.43%,+16.67%,+22.05%,+54.36%
CCH84,Cocoa,2617,+41.92,-5.01%,+5.99%,+2.71%,+40.85%
CCK84,Cocoa,2635,+24.23,-3.37%,+9.43%,+9.56%,+28.41%
CCN84,Cocoa,2130,-13.63,-21.43%,-9.97%,-12.45%,-2.43%
CCU84,Cocoa,2604,+22.39,-3.20%,+14.46%,+5.77%,+26.35%
CCZ84,Cocoa,2052,-19.78,-21.98%,-11.67%,-10.43%,-13.96%
CCH85,Cocoa,2139,-10.98,+4.24%,+0.90%,+4.29%,-15.12%
CCK85,Cocoa,2065,-19.12,-0.43%,-13.27%,-4.13%,-16.67%
CCN85,Cocoa,2049,-7.19,-1.16%,+1.04%,-9.14%,-4.25%
CCU85,Cocoa,2106,-6.00,+1.45%,+0.48%,+5.14%,-7.14%
CCZ85,Cocoa,2159,+5.12,+6.35%,+6.41%,-0.78%,+5.06%
CCH86,Cocoa,2011,-8.19,-12.49%,-2.80%,-9.58%,+0.80%
CCK86,Cocoa,1711,-23.42,-26.79%,-2.73%,-19.10%,-16.54%
CCN86,Cocoa,1850,-16.50,-21.71%,+8.25%,-4.54%,-15.14%
CCU86,Cocoa,2133,-3.96,-9.92%,+13.64%,+20.78%,-6.45%
CCZ86,Cocoa,1808,-22.10,-23.55%,-6.90%,-16.26%,-22.07%
CCH87,Cocoa,1906,-8.05,-1.50%,+4.67%,+1.17%,-11.92%
CCK87,Cocoa,1959,+0.06,-0.25%,+0.62%,+5.49%,+1.77%
CCN87,Cocoa,2086,+3.32,+5.09%,+11.67%,+3.32%,+3.78%
CCU87,Cocoa,1858,-15.82,-7.47%,-2.47%,-1.01%,-18.22%
CCZ87,Cocoa,1736,-15.47,-14.48%,-3.98%,-8.15%,-11.34%
CCH88,Cocoa,1502,-30.53,-17.20%,-9.52%,-15.52%,-25.31%
CCK88,Cocoa,1579,-24.50,-14.28%,+4.50%,-8.52%,-24.99%
CCN88,Cocoa,1594,-24.68,-14.58%,+2.44%,+2.97%,-26.03%
CCU88,Cocoa,1169,-45.73,-38.57%,-11.91%,-26.75%,-41.29%
CCZ88,Cocoa,1349,-27.52,-30.64%,-2.74%,+9.05%,-28.51%
CCH89,Cocoa,1558,-1.79,+3.87%,-5.86%,+13.31%,-9.68%
CCK89,Cocoa,1243,-28.34,-16.91%,-4.53%,-20.63%,-26.80%
CCN89,Cocoa,1270,-17.89,-14.99%,+10.72%,+3.25%,-22.37%
CCU89,Cocoa,1114,-15.46,-25.68%,-12.15%,-6.07%,-10.88%
CCZ89,Cocoa,941,-36.81,-37.39%,-4.08%,-13.43%,-33.96%
CCH90,Cocoa,1065,-16.81,+15.14%,+8.56%,+17.94%,-22.66%
CCK90,Cocoa,1375,+27.45,+47.37%,+4.56%,+41.46%,+15.74%
CCN90,Cocoa,1226,-2.19,+29.60%,+1.66%,-7.68%,-8.23%
CCU90,Cocoa,1264,+8.03,+30.98%,+15.43%,+0.88%,+12.56%
CCZ90,Cocoa,1210,+13.62,+22.22%,+3.86%,-3.43%,+20.16%
CCH91,Cocoa,1156,-3.23,+0.52%,+1.40%,-4.78%,+0.09%
CCK91,Cocoa,986,-37.02,-17.35%,-8.79%,-17.83%,-32.93%
CCN91,Cocoa,886,-38.71,-28.32%,-3.06%,-20.82%,-34.61%
CCU91,Cocoa,1153,-12.39,-9.36%,+10.55%,+17.65%,-19.54%
CCZ91,Cocoa,1280,+3.73,-3.47%,+6.76%,+6.40%,-6.09%
CCH92,Cocoa,1021,-21.04,-17.99%,-5.29%,-23.41%,-19.86%
CCK92,Cocoa,879,-30.46,-31.60%,-7.28%,-20.95%,-22.21%
CCN92,Cocoa,942,-21.87,-29.01%,+17.75%,-1.77%,-13.34%
CCU92,Cocoa,966,-28.39,-28.44%,-2.72%,+12.06%,-27.37%
CCZ92,Cocoa,915,-33.62,-34.03%,-9.23%,-8.22%,-36.46%
CCH93,Cocoa,883,-27.74,-5.66%,-2.43%,-6.46%,-27.62%
CCK93,Cocoa,872,-21.82,-9.73%,-8.02%,-5.73%,-18.96%
CCN93,Cocoa,974,-10.42,-1.62%,+14.05%,+1.46%,-15.74%
