"Exp Date",Symbol,"Contract Name",Last,"52W High","52W High Date","52W Low","52W Low Date","52W %Chg",Time
1980,CCH80,"Cocoa March 1980 Futures",2965,3602,06/05/79,2690,10/30/79,-13.51%,03/20/80
1980,CCK80,"Cocoa May 1980 Futures",2427,3599,06/11/79,2427,05/20/80,-29.79%,05/20/80
1980,CCN80,"Cocoa July 1980 Futures",2351,3368,10/02/79,2130,07/01/80,-30.48%,07/22/80
1980,CCU80,"Cocoa September 1980 Futures",2252,3363,10/01/79,2006,08/20/80,-30.58%,09/19/80
1980,CCZ80,"Cocoa December 1980 Futures",1975,3352,02/13/80,1870,12/11/80,-38.95%,12/18/80
1981,CCH81,"Cocoa March 1981 Futures",2025,3200,03/24/80,1795,02/19/81,-34.99%,03/20/81
1981,CCK81,"Cocoa May 1981 Futures",1712,2705,06/09/80,1700,05/14/81,-35.52%,05/19/81
1981,CCN81,"Cocoa July 1981 Futures",1885,2635,07/23/80,1330,06/22/81,-28.11%,07/22/81
1981,CCU81,"Cocoa September 1981 Futures",2148,2558,09/22/80,1422,06/22/81,-14.18%,09/21/81
1981,CCZ81,"Cocoa December 1981 Futures",2052,2275,09/02/81,1515,06/15/81,-5.09%,12/18/81
1982,CCH82,"Cocoa March 1982 Futures",1806,2360,09/02/81,1625,06/22/81,-20.34%,03/22/82
1982,CCK82,"Cocoa May 1982 Futures",1538,2394,09/02/81,1520,05/18/82,-24.09%,05/19/82
1982,CCN82,"Cocoa July 1982 Futures",1363,2422,09/02/81,1275,07/20/82,-37.33%,07/21/82
1982,CCU82,"Cocoa September 1982 Futures",1515,2436,09/21/81,1315,08/11/82,-36.95%,09/16/82
1982,CCZ82,"Cocoa December 1982 Futures",1419,2244,01/08/82,1285,11/16/82,-33.85%,12/15/82
1983,CCH83,"Cocoa March 1983 Futures",1641,1985,03/19/82,1383,11/15/82,-17.99%,03/17/83
1983,CCK83,"Cocoa May 1983 Futures",1959,1959,05/16/83,1438,11/15/82,+8.95%,05/16/83
