Contract,Last,"Prev Change","Prev Open","Prev High","Prev Low",Previous,Volume,"Open Interest",Time
"CCY00 (Cash)",2379,11,0,2379,2379,2368,0,0,06/12/20
"CCN20 (Jul '20)",2396,34,2365,2421,2354,2362,3844,11481,06/12/20
"CCU20 (Sep '20)",2319,28,2295,2347,2283,2291,19777,96429,06/12/20
"CCZ20 (Dec '20)",2304,23,2284,2323,2275,2281,6838,56067,06/12/20
"CCH21 (Mar '21)",2290,19,2271,2308,2263,2271,4559,31216,06/12/20
"CCK21 (May '21)",2291,17,2274,2308,2272,2274,894,12957,06/12/20
"CCN21 (Jul '21)",2293,16,2299,2310,2279,2277,308,5629,06/12/20
"CCU21 (Sep '21)",2293,15,2302,2309,2279,2278,86,2974,06/12/20
"CCZ21 (Dec '21)",2289,16,2293,2304,2277,2273,203,1962,06/12/20
"CCH22 (Mar '22)",2289,19,0,2289,2289,2270,0,27,06/12/20
"CCK22 (May '22)",2271,19,0,2271,2271,2252,0,0,06/12/20
"Downloaded from Barchart.com as of 06-14-2020 09:03am CDT"
