Date,Value
1990-01-31,959.6
1990-02-28,997.1
1990-03-31,1098.9
1990-04-30,1272.5
1990-05-31,1375.5
1990-06-30,1237.0
1990-07-31,1251.9
1990-08-31,1168.0
1990-09-30,1264.6
1990-10-31,1204.5
1990-11-30,1226.3
1990-12-31,1189.6
1991-01-31,1165.1
1991-02-28,1131.1
1991-03-31,1139.0
1991-04-30,1072.0
1991-05-31,992.2
1991-06-30,948.2
1991-07-31,934.7
1991-08-31,1034.4
1991-09-30,1187.5
1991-10-31,1219.7
1991-11-30,1204.8
1991-12-31,1269.8
1992-01-31,1199.6
1992-02-29,1099.4
1992-03-31,1035.2
1992-04-30,931.3
1992-05-31,884.8
1992-06-30,837.5
1992-07-31,972.3
1992-08-31,1050.9
1992-09-30,999.0
1992-10-31,970.4
1992-11-30,978.6
1992-12-31,943.7
1993-01-31,961.8
1993-02-28,900.3
1993-03-31,884.0
1993-04-30,909.6
1993-05-31,892.0
1993-06-30,875.8
1993-07-31,953.0
1993-08-31,962.9
1993-09-30,1106.8
1993-10-31,1147.0
1993-11-30,1166.2
1993-12-31,1221.7
1994-01-31,1138.1
1994-02-28,1093.6
1994-03-31,1182.3
1994-04-30,1116.2
1994-05-31,1254.0
1994-06-30,1320.2
1994-07-31,1416.8
1994-08-31,1389.6
1994-09-30,1314.9
1994-10-31,1297.1
1994-11-30,1280.1
1994-12-31,1270.0
1995-01-31,1348.2
1995-02-28,1375.8
1995-03-31,1342.6
1995-04-30,1353.1
1995-05-31,1318.2
1995-06-30,1299.0
1995-07-31,1241.7
1995-08-31,1303.7
1995-09-30,1284.5
1995-10-31,1294.9
1995-11-30,1342.6
1995-12-31,1284.6
1996-01-31,1264.2
1996-02-29,1273.2
1996-03-31,1231.4
1996-04-30,1342.1
1996-05-31,1383.1
1996-06-30,1381.5
1996-07-31,1350.5
1996-08-31,1355.2
1996-09-30,1354.2
1996-10-31,1373.9
1996-11-30,1335.3
1996-12-31,1352.4
1997-01-31,1334.3
1997-02-28,1251.9
1997-03-31,1392.3
1997-04-30,1432.0
1997-05-31,1438.1
1997-06-30,1545.9
1997-07-31,1545.0
1997-08-31,1543.1
1997-09-30,1662.7
1997-10-31,1640.2
1997-11-30,1584.1
1997-12-31,1636.7
1998-01-31,1580.8
1998-02-28,1534.0
1998-03-31,1620.5
1998-04-30,1644.0
1998-05-31,1704.0
1998-06-30,1586.4
1998-07-31,1561.5
1998-08-31,1540.6
1998-09-30,1544.8
1998-10-31,1527.6
1998-11-30,1472.0
1998-12-31,1415.9
1999-01-31,1352.4
1999-02-28,1294.9
1999-03-31,1208.8
1999-04-30,1054.2
1999-05-31,943.5
1999-06-30,1062.5
1999-07-31,1008.6
1999-08-31,935.6
1999-09-30,954.1
1999-10-31,928.6
1999-11-30,831.9
1999-12-31,833.1
2000-01-31,839.7
2000-02-29,763.6
2000-03-31,832.2
2000-04-30,797.4
2000-05-31,804.0
2000-06-30,838.4
2000-07-31,838.8
2000-08-31,764.4
2000-09-30,787.3
2000-10-31,803.3
2000-11-30,716.6
2000-12-31,728.0
2001-01-31,917.6
2001-02-28,1090.1
2001-03-31,1050.0
2001-04-30,1006.5
2001-05-31,1044.2
2001-06-30,930.5
2001-07-31,931.0
2001-08-31,980.9
2001-09-30,961.6
2001-10-31,1042.6
2001-11-30,1195.6
2001-12-31,1296.4
2002-01-31,1343.8
2002-02-28,1439.8
2002-03-31,1530.8
2002-04-30,1534.7
2002-05-31,1547.4
2002-06-30,1542.1
2002-07-31,1759.9
2002-08-31,1858.9
2002-09-30,2077.6
2002-10-31,2129.3
2002-11-30,1800.2
2002-12-31,2017.0
2003-01-31,2189.4
2003-02-28,2243.3
2003-03-31,2005.3
2003-04-30,1980.4
2003-05-31,1761.8
2003-06-30,1550.7
2003-07-31,1542.4
2003-08-31,1583.4
2003-09-30,1628.4
2003-10-31,1459.1
2003-11-30,1498.7
2003-12-31,1590.1
2004-01-31,1597.2
2004-02-29,1529.5
2004-03-31,1462.9
2004-04-30,1388.8
2004-05-31,1367.9
2004-06-30,1349.6
2004-07-31,1514.5
2004-08-31,1662.0
2004-09-30,1484.4
2004-10-31,1442.6
2004-11-30,1629.7
2004-12-31,1625.3
2005-01-31,1513.0
2005-02-28,1592.4
2005-03-31,1713.0
2005-04-30,1516.2
2005-05-31,1445.4
2005-06-30,1478.0
2005-07-31,1415.2
2005-08-31,1387.5
2005-09-30,1405.9
2005-10-31,1382.1
2005-11-30,1373.2
2005-12-31,1461.6
2006-01-31,1518.2
2006-02-28,1479.2
2006-03-31,1469.5
2006-04-30,1469.0
2006-05-31,1514.8
2006-06-30,1522.2
2006-07-31,1590.9
2006-08-31,1488.8
2006-09-30,1453.7
2006-10-31,1448.2
2006-11-30,1477.7
2006-12-31,1601.4
2007-01-31,1612.0
2007-02-28,1715.1
2007-03-31,1827.1
2007-04-30,1875.3
2007-05-31,1916.3
2007-06-30,1917.0
2007-07-31,2053.9
2007-08-31,1836.4
2007-09-30,1922.3
2007-10-31,1878.2
2007-11-30,1922.3
2007-12-31,2118.8
2008-01-31,2174.8
2008-02-29,2488.6
2008-03-31,2607.4
2008-04-30,2596.2
2008-05-31,2698.2
2008-06-30,3022.2
2008-07-31,2950.0
2008-08-31,2761.0
2008-09-30,2633.8
2008-10-31,2187.3
2008-11-30,2064.9
2008-12-31,2454.7
2009-01-31,2588.4
2009-02-28,2645.3
2009-03-31,2441.1
